filename,width,height,class,xmin,ymin,xmax,ymax
Cross (1010).png,120,120,Crosswalk,48,76,71,85
Cross (1010).png,120,120,Crosswalk,68,82,89,92
Cross (1011).png,120,120,Crosswalk,14,30,41,43
Cross (1011).png,120,120,Crosswalk,36,35,62,44
Cross (1011).png,120,120,Crosswalk,58,39,89,48
Cross (1011).png,120,120,Crosswalk,83,40,115,53
Cross (1011).png,120,120,Crosswalk,110,40,120,53
Cross (1011).png,120,120,Crosswalk,101,20,120,25
Cross (1011).png,120,120,Crosswalk,5,19,29,28
Cross (1012).png,120,120,Crosswalk,1,82,40,93
Cross (1012).png,120,120,Crosswalk,35,86,82,97
Cross (1012).png,120,120,Crosswalk,76,90,120,104
Cross (1013).png,120,120,Crosswalk,36,28,112,45
Cross (1014).png,120,120,Crosswalk,2,53,32,67
Cross (1014).png,120,120,Crosswalk,33,49,63,61
Cross (1014).png,120,120,Crosswalk,88,37,120,47
Cross (1014).png,120,120,Crosswalk,61,47,94,52
Cross (1017).png,120,120,Crosswalk,2,5,22,37
Cross (1017).png,120,120,Crosswalk,22,25,47,52
Cross (1017).png,120,120,Crosswalk,36,38,70,65
Cross (1017).png,120,120,Crosswalk,61,51,90,78
Cross (1017).png,120,120,Crosswalk,83,65,113,93
Cross (1017).png,120,120,Crosswalk,107,83,120,106
Cross (1018).png,120,120,Crosswalk,2,43,29,79
Cross (1018).png,120,120,Crosswalk,19,56,54,99
Cross (1018).png,120,120,Crosswalk,41,61,70,116
Cross (1018).png,120,120,Crosswalk,61,76,120,120
Cross (1019).png,120,120,Crosswalk,1,34,19,48
Cross (1019).png,120,120,Crosswalk,15,39,43,50
Cross (1019).png,120,120,Crosswalk,35,40,66,57
Cross (1019).png,120,120,Crosswalk,59,45,92,61
Cross (1019).png,120,120,Crosswalk,86,46,108,63
Cross (1019).png,120,120,Crosswalk,99,45,120,64
Cross (1019).png,120,120,Crosswalk,1,105,61,120
Cross (102).png,120,120,Crosswalk,0,74,119,99
Cross (1020).png,120,120,Crosswalk,29,47,53,57
Cross (1020).png,120,120,Crosswalk,49,50,69,58
Cross (1020).png,120,120,Crosswalk,66,54,88,62
Cross (1020).png,120,120,Crosswalk,87,59,120,68
Cross (1020).png,120,120,Crosswalk,105,82,120,120
Cross (1020).png,120,120,Crosswalk,78,98,106,120
Cross (1020).png,120,120,Crosswalk,59,108,79,120
Cross (1021).png,120,120,Crosswalk,1,23,24,64
Cross (1021).png,120,120,Crosswalk,12,43,44,92
Cross (1021).png,120,120,Crosswalk,26,58,71,114
Cross (1021).png,120,120,Crosswalk,59,82,97,120
Cross (1021).png,120,120,Crosswalk,88,96,120,120
Cross (1023).png,120,120,Crosswalk,16,66,58,88
Cross (1023).png,120,120,Crosswalk,58,72,102,95
Cross (1023).png,120,120,Crosswalk,95,76,120,97
Cross (1024).png,120,120,Crosswalk,1,56,36,108
Cross (1024).png,120,120,Crosswalk,30,48,68,90
Cross (1024).png,120,120,Crosswalk,55,41,95,70
Cross (1024).png,120,120,Crosswalk,82,30,119,55
Cross (1025).png,120,120,Crosswalk,2,64,92,120
Cross (1025).png,120,120,Crosswalk,45,48,120,100
Cross (1025).png,120,120,Crosswalk,85,33,120,51
Cross (1026).png,120,120,Crosswalk,28,9,41,20
Cross (1026).png,120,120,Crosswalk,41,14,61,26
Cross (1026).png,120,120,Crosswalk,59,20,82,35
Cross (1026).png,120,120,Crosswalk,79,27,105,47
Cross (1026).png,120,120,Crosswalk,99,38,120,57
Cross (1026).png,120,120,Crosswalk,2,110,114,120
Cross (1027).png,120,120,Crosswalk,1,45,20,120
Cross (1027).png,120,120,Crosswalk,19,70,54,120
Cross (1027).png,120,120,Crosswalk,51,91,82,120
Cross (1027).png,120,120,Crosswalk,80,105,101,120
Cross (1029).png,120,120,Crosswalk,2,57,30,80
Cross (1029).png,120,120,Crosswalk,28,51,58,73
Cross (1029).png,120,120,Crosswalk,53,47,113,62
Cross (103).png,120,120,Crosswalk,2,83,116,87
Cross (103).png,120,120,Crosswalk,24,73,101,76
Cross (1030).png,120,120,Crosswalk,1,61,36,77
Cross (1030).png,120,120,Crosswalk,29,66,59,80
Cross (1030).png,120,120,Crosswalk,54,69,84,87
Cross (1030).png,120,120,Crosswalk,78,75,111,92
Cross (1030).png,120,120,Crosswalk,103,82,120,97
Cross (1030).png,120,120,Crosswalk,1,24,13,33
Cross (1030).png,120,120,Crosswalk,15,26,32,31
Cross (1030).png,120,120,Crosswalk,32,21,45,26
Cross (1030).png,120,120,Crosswalk,47,22,62,26
Cross (1030).png,120,120,Crosswalk,64,22,78,26
Cross (1030).png,120,120,Crosswalk,81,23,98,27
Cross (1031).png,120,120,Crosswalk,1,38,120,94
Cross (1032).png,120,120,Crosswalk,21,30,98,42
Cross (1032).png,120,120,Crosswalk,55,36,120,52
Cross (1032).png,120,120,Crosswalk,95,47,120,62
Cross (1032).png,120,120,Crosswalk,2,81,120,108
Cross (1032).png,120,120,Crosswalk,2,104,41,120
Cross (1033).png,120,120,Crosswalk,1,48,31,89
Cross (1033).png,120,120,Crosswalk,29,39,65,69
Cross (1033).png,120,120,Crosswalk,56,30,91,55
Cross (1033).png,120,120,Crosswalk,84,22,120,41
Cross (1034).png,120,120,Crosswalk,86,22,120,32
Cross (1034).png,120,120,Crosswalk,66,29,93,47
Cross (1034).png,120,120,Crosswalk,45,41,78,63
Cross (1034).png,120,120,Crosswalk,21,55,52,78
Cross (1034).png,120,120,Crosswalk,1,68,28,109
Cross (1035).png,120,120,Crosswalk,3,58,44,83
Cross (1035).png,120,120,Crosswalk,30,64,64,91
Cross (1035).png,120,120,Crosswalk,52,68,85,99
Cross (1035).png,120,120,Crosswalk,75,76,111,110
Cross (1035).png,120,120,Crosswalk,96,82,120,118
Cross (1036).png,120,120,Crosswalk,1,45,120,53
Cross (1036).png,120,120,Crosswalk,1,22,100,29
Cross (1037).png,120,120,Crosswalk,63,55,120,86
Cross (1037).png,120,120,Crosswalk,49,30,109,53
Cross (1037).png,120,120,Crosswalk,94,21,120,32
Cross (1038).png,120,120,Crosswalk,1,60,120,76
Cross (1039).png,120,120,Crosswalk,1,19,46,40
Cross (1039).png,120,120,Crosswalk,11,28,64,53
Cross (1039).png,120,120,Crosswalk,30,39,83,68
Cross (1039).png,120,120,Crosswalk,54,49,120,104
Cross (1039).png,120,120,Crosswalk,33,61,120,80
Cross (1039).png,120,120,Crosswalk,65,86,120,120
Cross (104).png,120,120,Crosswalk,98,78,119,89
Cross (104).png,120,120,Crosswalk,84,76,99,86
Cross (104).png,120,120,Crosswalk,69,75,86,84
Cross (104).png,120,120,Crosswalk,52,73,71,82
Cross (104).png,120,120,Crosswalk,37,74,43,79
Cross (1040).png,120,120,Crosswalk,31,48,120,57
Cross (1040).png,120,120,Crosswalk,57,32,90,35
Cross (1040).png,120,120,Crosswalk,30,34,44,40
Cross (1040).png,120,120,Crosswalk,21,39,35,44
Cross (1041).png,120,120,Crosswalk,73,62,115,70
Cross (1041).png,120,120,Crosswalk,86,68,120,88
Cross (1041).png,120,120,Crosswalk,1,103,110,120
Cross (1042).png,120,120,Crosswalk,30,14,61,24
Cross (1042).png,120,120,Crosswalk,46,20,92,43
Cross (1042).png,120,120,Crosswalk,72,37,120,63
Cross (1043).png,120,120,Crosswalk,60,78,72,85
Cross (1043).png,120,120,Crosswalk,74,74,83,81
Cross (1043).png,120,120,Crosswalk,84,73,94,79
Cross (1043).png,120,120,Crosswalk,95,70,103,74
Cross (1043).png,120,120,Crosswalk,113,70,120,74
Cross (1043).png,120,120,Crosswalk,56,100,80,118
Cross (1043).png,120,120,Crosswalk,72,102,95,120
Cross (1043).png,120,120,Crosswalk,92,111,106,120
Cross (1044).png,120,120,Crosswalk,1,62,17,70
Cross (1044).png,120,120,Crosswalk,18,59,42,67
Cross (1044).png,120,120,Crosswalk,43,54,68,62
Cross (1044).png,120,120,Crosswalk,105,52,120,59
Cross (1045).png,120,120,Crosswalk,1,1,120,120
Cross (1047).png,120,120,Crosswalk,1,99,35,112
Cross (1047).png,120,120,Crosswalk,35,93,54,101
Cross (1047).png,120,120,Crosswalk,53,89,74,96
Cross (1047).png,120,120,Crosswalk,76,85,107,91
Cross (1048).png,120,120,Crosswalk,1,65,99,79
Cross (1049).png,120,120,Crosswalk,52,65,120,83
Cross (105).png,120,120,Crosswalk,31,91,119,101
Cross (1050).png,120,120,Crosswalk,2,49,44,70
Cross (1050).png,120,120,Crosswalk,37,40,81,61
Cross (1050).png,120,120,Crosswalk,80,35,120,55
Cross (1053).png,120,120,Crosswalk,44,58,81,73
Cross (1053).png,120,120,Crosswalk,72,64,100,81
Cross (1053).png,120,120,Crosswalk,92,69,120,86
Cross (1055).png,120,120,Crosswalk,1,77,34,102
Cross (1055).png,120,120,Crosswalk,23,88,65,114
Cross (1055).png,120,120,Crosswalk,52,98,111,120
Cross (1056).png,120,120,Crosswalk,2,40,120,46
Cross (1056).png,120,120,Crosswalk,22,22,119,27
Cross (1057).png,120,120,Crosswalk,80,80,112,88
Cross (1057).png,120,120,Crosswalk,65,84,95,95
Cross (1057).png,120,120,Crosswalk,48,89,79,102
Cross (1057).png,120,120,Crosswalk,28,96,57,107
Cross (1057).png,120,120,Crosswalk,2,105,36,119
Cross (1058).png,120,120,Crosswalk,1,50,120,62
Cross (1059).png,120,120,Crosswalk,1,81,40,92
Cross (1059).png,120,120,Crosswalk,36,84,58,98
Cross (1059).png,120,120,Crosswalk,53,88,82,103
Cross (1059).png,120,120,Crosswalk,77,92,119,105
Cross (106).png,120,120,Crosswalk,0,78,120,119
Cross (106).png,120,120,Crosswalk,75,23,119,118
Cross (106).png,120,120,Crosswalk,18,52,57,120
Cross (1060).png,120,120,Crosswalk,1,67,120,87
Cross (1061).png,120,120,Crosswalk,2,45,34,70
Cross (1061).png,120,120,Crosswalk,26,38,59,62
Cross (1061).png,120,120,Crosswalk,51,32,86,51
Cross (1061).png,120,120,Crosswalk,77,24,111,36
Cross (1061).png,120,120,Crosswalk,103,14,120,30
Cross (1062).png,120,120,Crosswalk,1,85,24,98
Cross (1062).png,120,120,Crosswalk,16,89,37,105
Cross (1062).png,120,120,Crosswalk,34,94,58,111
Cross (1062).png,120,120,Crosswalk,50,100,76,115
Cross (1062).png,120,120,Crosswalk,69,103,102,120
Cross (1062).png,120,120,Crosswalk,97,110,120,120
Cross (1063).png,120,120,Crosswalk,1,36,27,51
Cross (1063).png,120,120,Crosswalk,23,42,67,57
Cross (1063).png,120,120,Crosswalk,59,47,97,65
Cross (1063).png,120,120,Crosswalk,92,54,120,71
Cross (1064).png,120,120,Crosswalk,1,59,35,110
Cross (1064).png,120,120,Crosswalk,24,52,68,85
Cross (1064).png,120,120,Crosswalk,53,41,91,68
Cross (1064).png,120,120,Crosswalk,84,36,114,53
Cross (1064).png,120,120,Crosswalk,28,23,55,30
Cross (1064).png,120,120,Crosswalk,50,25,83,35
Cross (1064).png,120,120,Crosswalk,80,29,92,34
Cross (1065).png,120,120,Crosswalk,1,78,120,94
Cross (1066).png,120,120,Crosswalk,53,111,100,117
Cross (1066).png,120,120,Crosswalk,53,105,79,108
Cross (1068).png,120,120,Crosswalk,81,44,100,52
Cross (1068).png,120,120,Crosswalk,93,48,113,60
Cross (1068).png,120,120,Crosswalk,106,55,120,70
Cross (107).png,120,120,Crosswalk,34,69,119,120
Cross (107).png,120,120,Crosswalk,0,107,24,120
Cross (1072).png,120,120,Crosswalk,1,99,96,120
Cross (1073).png,120,120,Crosswalk,1,81,90,104
Cross (1073).png,120,120,Crosswalk,61,46,84,56
Cross (1073).png,120,120,Crosswalk,72,56,100,70
Cross (1073).png,120,120,Crosswalk,86,68,116,82
Cross (1075).png,120,120,Crosswalk,25,37,87,41
Cross (1076).png,120,120,Crosswalk,1,28,79,44
Cross (1076).png,120,120,Crosswalk,51,40,85,59
Cross (1076).png,120,120,Crosswalk,26,48,57,64
Cross (1076).png,120,120,Crosswalk,1,58,30,77
Cross (1077).png,120,120,Crosswalk,24,80,39,92
Cross (1077).png,120,120,Crosswalk,40,85,64,97
Cross (1077).png,120,120,Crosswalk,61,90,94,102
Cross (1077).png,120,120,Crosswalk,91,96,120,112
Cross (1078).png,120,120,Crosswalk,1,41,34,87
Cross (1078).png,120,120,Crosswalk,28,30,62,67
Cross (1078).png,120,120,Crosswalk,55,25,91,51
Cross (1078).png,120,120,Crosswalk,80,17,120,41
Cross (1079).png,120,120,Crosswalk,9,76,84,83
Cross (108).png,120,120,Crosswalk,0,0,19,61
Cross (108).png,120,120,Crosswalk,15,11,33,71
Cross (108).png,120,120,Crosswalk,29,20,47,81
Cross (108).png,120,120,Crosswalk,43,35,64,95
Cross (108).png,120,120,Crosswalk,58,47,83,110
Cross (108).png,120,120,Crosswalk,78,64,100,118
Cross (108).png,120,120,Crosswalk,94,72,119,118
Cross (1080).png,120,120,Crosswalk,12,60,47,79
Cross (1080).png,120,120,Crosswalk,42,47,68,70
Cross (1080).png,120,120,Crosswalk,64,40,93,59
Cross (1080).png,120,120,Crosswalk,88,33,120,48
Cross (1081).png,120,120,Crosswalk,1,106,120,120
Cross (1081).png,120,120,Crosswalk,61,90,120,105
Cross (1081).png,120,120,Crosswalk,35,96,76,111
Cross (1082).png,120,120,Crosswalk,1,77,120,87
Cross (1082).png,120,120,Crosswalk,57,59,102,63
Cross (1082).png,120,120,Crosswalk,1,65,8,73
Cross (1083).png,120,120,Crosswalk,45,57,91,60
Cross (1083).png,120,120,Crosswalk,37,68,120,74
Cross (1083).png,120,120,Crosswalk,1,58,4,65
Cross (1084).png,120,120,Crosswalk,1,42,19,84
Cross (1084).png,120,120,Crosswalk,19,33,40,67
Cross (1084).png,120,120,Crosswalk,36,27,64,55
Cross (1084).png,120,120,Crosswalk,59,22,84,40
Cross (1084).png,120,120,Crosswalk,78,12,110,30
Cross (1084).png,120,120,Crosswalk,104,7,120,20
Cross (1085).png,120,120,Crosswalk,1,46,42,74
Cross (1085).png,120,120,Crosswalk,36,35,81,60
Cross (1085).png,120,120,Crosswalk,79,25,118,40
Cross (1085).png,120,120,Crosswalk,1,15,23,22
Cross (1086).png,120,120,Crosswalk,1,1,26,29
Cross (1086).png,120,120,Crosswalk,16,17,43,44
Cross (1086).png,120,120,Crosswalk,35,30,58,57
Cross (1086).png,120,120,Crosswalk,51,43,77,75
Cross (1086).png,120,120,Crosswalk,71,60,97,87
Cross (1086).png,120,120,Crosswalk,92,74,120,108
Cross (1089).png,120,120,Crosswalk,1,32,25,79
Cross (1089).png,120,120,Crosswalk,22,38,57,77
Cross (1089).png,120,120,Crosswalk,47,49,80,68
Cross (109).png,120,120,Crosswalk,20,90,57,110
Cross (109).png,120,120,Crosswalk,43,85,73,104
Cross (109).png,120,120,Crosswalk,68,83,89,100
Cross (109).png,120,120,Crosswalk,85,82,101,95
Cross (109).png,120,120,Crosswalk,98,85,112,93
Cross (1090).png,120,120,Crosswalk,1,60,16,77
Cross (1090).png,120,120,Crosswalk,15,58,33,72
Cross (1090).png,120,120,Crosswalk,31,52,53,66
Cross (1090).png,120,120,Crosswalk,52,49,81,59
Cross (1091).png,120,120,Crosswalk,11,25,67,39
Cross (1091).png,120,120,Crosswalk,44,29,78,47
Cross (1091).png,120,120,Crosswalk,61,39,100,58
Cross (1091).png,120,120,Crosswalk,81,49,118,67
Cross (1091).png,120,120,Crosswalk,102,59,120,82
Cross (1092).png,120,120,Crosswalk,2,91,120,119
Cross (1092).png,120,120,Crosswalk,50,33,87,39
Cross (1094).png,120,120,Crosswalk,7,83,120,88
Cross (1094).png,120,120,Crosswalk,34,63,59,66
Cross (1094).png,120,120,Crosswalk,72,63,101,68
Cross (1094).png,120,120,Crosswalk,1,66,8,75
Cross (1097).png,120,120,Crosswalk,8,49,32,58
Cross (1097).png,120,120,Crosswalk,29,54,52,64
Cross (1097).png,120,120,Crosswalk,48,59,73,70
Cross (1097).png,120,120,Crosswalk,67,65,95,78
Cross (1097).png,120,120,Crosswalk,88,72,120,86
Cross (1097).png,120,120,Crosswalk,18,39,41,45
Cross (1097).png,120,120,Crosswalk,37,32,65,42
Cross (1097).png,120,120,Crosswalk,64,32,92,38
Cross (1097).png,120,120,Crosswalk,92,29,102,33
Cross (1098).png,120,120,Crosswalk,1,87,120,120
Cross (1098).png,120,120,Crosswalk,83,55,114,61
Cross (1099).png,120,120,Crosswalk,1,42,26,120
Cross (1099).png,120,120,Crosswalk,24,57,68,120
Cross (1099).png,120,120,Crosswalk,65,73,105,120
Cross (1099).png,120,120,Crosswalk,98,84,120,120
Cross (110).png,120,120,Crosswalk,0,69,19,95
Cross (110).png,120,120,Crosswalk,17,65,40,89
Cross (110).png,120,120,Crosswalk,37,63,61,84
Cross (110).png,120,120,Crosswalk,56,60,79,80
Cross (110).png,120,120,Crosswalk,75,64,114,76
Cross (1101).png,120,120,Crosswalk,18,60,58,70
Cross (1101).png,120,120,Crosswalk,1,67,23,87
Cross (1102).png,120,120,Crosswalk,7,62,120,120
Cross (1103).png,120,120,Crosswalk,48,35,98,69
Cross (1103).png,120,120,Crosswalk,74,45,120,81
Cross (1105).png,120,120,Crosswalk,6,35,112,43
Cross (1105).png,120,120,Crosswalk,1,61,117,74
Cross (1107).png,120,120,Crosswalk,27,42,120,51
Cross (1107).png,120,120,Crosswalk,55,33,120,37
Cross (1108).png,120,120,Crosswalk,104,43,120,74
Cross (1108).png,120,120,Crosswalk,90,53,109,78
Cross (1108).png,120,120,Crosswalk,79,63,95,85
Cross (1108).png,120,120,Crosswalk,59,72,82,93
Cross (1108).png,120,120,Crosswalk,43,78,61,101
Cross (1108).png,120,120,Crosswalk,22,88,50,115
Cross (1108).png,120,120,Crosswalk,2,99,27,120
Cross (1109).png,120,120,Crosswalk,42,49,92,88
Cross (1109).png,120,120,Crosswalk,19,52,54,100
Cross (1109).png,120,120,Crosswalk,1,59,25,111
Cross (111).png,120,120,Crosswalk,66,69,119,84
Cross (111).png,120,120,Crosswalk,22,52,80,64
Cross (111).png,120,120,Crosswalk,34,46,87,56
Cross (111).png,120,120,Crosswalk,43,40,93,49
Cross (111).png,120,120,Crosswalk,55,37,99,43
Cross (111).png,120,120,Crosswalk,64,33,106,39
Cross (111).png,120,120,Crosswalk,62,63,76,72
Cross (1112).png,120,120,Crosswalk,65,19,120,45
Cross (1112).png,120,120,Crosswalk,30,30,84,73
Cross (1112).png,120,120,Crosswalk,1,48,47,110
Cross (1113).png,120,120,Crosswalk,38,55,120,79
Cross (1113).png,120,120,Crosswalk,23,64,65,76
Cross (1116).png,120,120,Crosswalk,1,79,120,87
Cross (1117).png,120,120,Crosswalk,1,37,60,120
Cross (1117).png,120,120,Crosswalk,39,23,112,87
Cross (1117).png,120,120,Crosswalk,86,6,120,58
Cross (1118).png,120,120,Crosswalk,45,75,120,83
Cross (1118).png,120,120,Crosswalk,1,88,18,105
Cross (1119).png,120,120,Crosswalk,1,40,24,58
Cross (1119).png,120,120,Crosswalk,27,48,46,56
Cross (1119).png,120,120,Crosswalk,1,67,41,89
Cross (112).png,120,120,Crosswalk,10,74,112,92
Cross (112).png,120,120,Crosswalk,69,11,82,15
Cross (112).png,120,120,Crosswalk,64,10,75,12
Cross (112).png,120,120,Crosswalk,58,7,67,10
Cross (112).png,120,120,Crosswalk,52,5,61,8
Cross (112).png,120,120,Crosswalk,99,20,108,24
Cross (112).png,120,120,Crosswalk,110,25,120,30
Cross (1120).png,120,120,Crosswalk,13,79,69,101
Cross (1120).png,120,120,Crosswalk,52,86,120,120
Cross (1121).png,120,120,Crosswalk,2,81,31,90
Cross (1121).png,120,120,Crosswalk,28,77,49,86
Cross (1121).png,120,120,Crosswalk,49,77,73,83
Cross (1121).png,120,120,Crosswalk,71,74,104,80
Cross (1121).png,120,120,Crosswalk,20,68,44,74
Cross (1122).png,120,120,Crosswalk,62,53,120,120
Cross (1122).png,120,120,Crosswalk,29,71,65,120
Cross (1122).png,120,120,Crosswalk,1,78,33,120
Cross (1123).png,120,120,Crosswalk,7,80,115,86
Cross (1123).png,120,120,Crosswalk,1,97,28,111
Cross (1123).png,120,120,Crosswalk,26,92,55,105
Cross (1123).png,120,120,Crosswalk,55,93,95,101
Cross (1123).png,120,120,Crosswalk,89,84,120,97
Cross (1124).png,120,120,Crosswalk,1,84,20,101
Cross (1124).png,120,120,Crosswalk,12,91,35,113
Cross (1124).png,120,120,Crosswalk,28,101,54,117
Cross (1125).png,120,120,Crosswalk,7,43,114,70
Cross (1125).png,120,120,Crosswalk,61,30,120,43
Cross (1125).png,120,120,Crosswalk,103,20,120,34
Cross (1126).png,120,120,Crosswalk,24,81,67,102
Cross (1126).png,120,120,Crosswalk,57,87,94,116
Cross (1126).png,120,120,Crosswalk,88,92,115,109
Cross (1127).png,120,120,Crosswalk,1,40,23,86
Cross (1127).png,120,120,Crosswalk,19,48,56,106
Cross (1127).png,120,120,Crosswalk,50,59,107,93
Cross (1128).png,120,120,Crosswalk,25,44,103,63
Cross (1128).png,120,120,Crosswalk,56,60,120,76
Cross (1128).png,120,120,Crosswalk,92,75,120,90
Cross (1129).png,120,120,Crosswalk,75,23,120,44
Cross (1129).png,120,120,Crosswalk,52,34,92,56
Cross (1129).png,120,120,Crosswalk,19,40,60,64
Cross (1129).png,120,120,Crosswalk,1,47,26,75
Cross (1130).png,120,120,Crosswalk,1,20,18,47
Cross (1130).png,120,120,Crosswalk,10,33,33,62
Cross (1130).png,120,120,Crosswalk,27,48,47,70
Cross (1130).png,120,120,Crosswalk,40,57,62,81
Cross (1130).png,120,120,Crosswalk,57,69,80,95
Cross (1130).png,120,120,Crosswalk,74,81,99,109
Cross (1130).png,120,120,Crosswalk,95,96,120,120
Cross (1131).png,120,120,Crosswalk,61,40,120,78
Cross (1131).png,120,120,Crosswalk,39,41,84,87
Cross (1131).png,120,120,Crosswalk,18,49,66,104
Cross (1131).png,120,120,Crosswalk,1,55,42,119
Cross (1134).png,120,120,Crosswalk,14,61,104,67
Cross (1135).png,120,120,Crosswalk,9,32,50,48
Cross (1135).png,120,120,Crosswalk,42,39,75,58
Cross (1135).png,120,120,Crosswalk,68,48,108,72
Cross (1135).png,120,120,Crosswalk,100,59,120,81
Cross (1136).png,120,120,Crosswalk,41,61,74,120
Cross (1136).png,120,120,Crosswalk,73,84,94,120
Cross (1136).png,120,120,Crosswalk,1,45,29,49
Cross (1137).png,120,120,Crosswalk,16,25,38,36
Cross (1137).png,120,120,Crosswalk,39,21,51,29
Cross (1137).png,120,120,Crosswalk,52,18,70,27
Cross (1137).png,120,120,Crosswalk,71,14,87,21
Cross (1137).png,120,120,Crosswalk,87,9,118,17
Cross (1139).png,120,120,Crosswalk,1,44,120,56
Cross (1139).png,120,120,Crosswalk,51,12,117,17
Cross (114).png,120,120,Crosswalk,81,76,119,119
Cross (114).png,120,120,Crosswalk,57,68,88,108
Cross (114).png,120,120,Crosswalk,15,62,74,96
Cross (114).png,120,120,Crosswalk,1,58,31,81
Cross (1141).png,120,120,Crosswalk,10,47,120,120
Cross (1141).png,120,120,Crosswalk,1,38,29,120
Cross (1142).png,120,120,Crosswalk,59,74,91,83
Cross (1142).png,120,120,Crosswalk,85,78,115,87
Cross (1142).png,120,120,Crosswalk,70,63,81,70
Cross (1142).png,120,120,Crosswalk,83,62,109,67
Cross (1146).png,120,120,Crosswalk,2,38,100,48
Cross (1146).png,120,120,Crosswalk,68,20,92,27
Cross (1146).png,120,120,Crosswalk,84,25,108,36
Cross (1147).png,120,120,Crosswalk,24,29,77,56
Cross (1147).png,120,120,Crosswalk,72,31,108,45
Cross (1147).png,120,120,Crosswalk,2,72,81,120
Cross (1147).png,120,120,Crosswalk,79,82,120,120
Cross (1148).png,120,120,Crosswalk,22,52,117,55
Cross (1148).png,120,120,Crosswalk,1,41,22,48
Cross (1148).png,120,120,Crosswalk,51,36,76,39
Cross (1148).png,120,120,Crosswalk,113,40,120,45
Cross (1149).png,120,120,Crosswalk,2,54,120,99
Cross (1149).png,120,120,Crosswalk,1,27,36,62
Cross (115).png,120,120,Crosswalk,67,68,119,84
Cross (115).png,120,120,Crosswalk,68,33,103,38
Cross (115).png,120,120,Crosswalk,60,36,95,45
Cross (115).png,120,120,Crosswalk,54,39,88,51
Cross (115).png,120,120,Crosswalk,47,43,85,53
Cross (115).png,120,120,Crosswalk,38,47,82,60
Cross (115).png,120,120,Crosswalk,30,53,74,68
Cross (115).png,120,120,Crosswalk,21,55,31,64
Cross (1150).png,120,120,Crosswalk,11,31,62,41
Cross (1150).png,120,120,Crosswalk,55,25,92,36
Cross (1150).png,120,120,Crosswalk,90,19,120,30
Cross (1150).png,120,120,Crosswalk,51,48,88,60
Cross (1150).png,120,120,Crosswalk,82,51,120,69
Cross (1151).png,120,120,Crosswalk,6,51,35,61
Cross (1151).png,120,120,Crosswalk,29,53,53,68
Cross (1151).png,120,120,Crosswalk,47,60,81,79
Cross (1151).png,120,120,Crosswalk,74,67,100,79
Cross (1152).png,120,120,Crosswalk,37,100,74,112
Cross (1152).png,120,120,Crosswalk,66,102,100,120
Cross (1152).png,120,120,Crosswalk,93,105,120,120
Cross (1152).png,120,120,Crosswalk,1,102,13,110
Cross (1153).png,120,120,Crosswalk,13,59,80,78
